ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
1000110	5	S	10	77		R21.407	466.899	37.881396	-121.278917	.554	ML	3	N/O Mathews Rd				
1000210	5	S	10	77		R20.8789	466.371	37.873818	-121.2779	.478	ML	3	N/O Eldorado St				
1000310	5	S	10	77		R20.45	465.942	37.867677	-121.278858	.389	ML	3	N/O Eldorado St				
1000410	5	S	10	77		R20.1	465.592	37.862729	-121.280287	.397	ML	3	N/O Roth Rd				
1000510	5	S	10	77	40704	R19.655	465.147	37.856421	-121.28201	.474	ML	3	N/O Roth Rd				
1000610	5	S	10	77	40704	R19.153	464.645	37.849282	-121.283757	.273	ML	3	S/O Roth Rd				
1000710	5	S	10	77	40704	R19.109	464.601	37.848654	-121.2839	.249	ML	3	N/O Lathrop Rd				
1000810	5	S	10	77	40704	R18.655	464.147	37.842193	-121.285444	.47	ML	3	N/O Lathrop Rd				
1000910	5	S	10	77	40704	R18.168	463.66	37.835254	-121.28705	.686	ML	3	N/O Lathrop Rd				
1001010	5	S	10	77	40704	R17.284	462.776	37.822958	-121.291558	.579	ML	3	S/O Lathrop Rd				
1001110	5	S	10	77	40704	R16.9	462.392	37.817653	-121.293618	.27	ML	3	S/O Lathrop Rd				
1001210	5	S	10	77	40704	R17.01	462.502	37.819173	-121.293027	.192	ML	3	S/O Lathrop Rd				
1001310	5	S	10	77	40704	R16.470	461.962	37.811683	-121.295858	.399	ML	3	S/O Louise Ave				
1001410	5	S	10	77	40704	R15.85	461.342	37.803031	-121.298885	.197	ML	3	S/O Louise Ave				
1001510	5	S	10	77	40704	R15.425	460.917	37.797086	-121.300774	.351	ML	2	N/O Jct Rte 120				
1001610	5	S	10	77	40704	R15.706	461.198	37.801026	-121.299582	.212	ML	2	S/O Louise Ave				
1001710	5	S	10	77	40704	R15.005	460.497	37.791042	-121.301166	.456	ML	3	N/O Jct Rte 120				
1001810	5	S	10	77	40704	R14.513	460.005	37.785448	-121.306333	.491	ML	3	N/O Jct WB Rte 120				
1001910	5	S	10	77	40704	R14.023	459.515	37.780898	-121.313206	.398	ML	5	N/O Mossdale Rd				
1002010	120	W	10	77		R5.576	5.083	37.783529	-121.210933	2.756	ML	2	E/O Main St				
1002110	120	W	10	77		R5.063	4.57	37.783507	-121.220367	.4	ML	2	W/O Main St				
1002210	120	W	10	77		R4.55	4.057	37.783471	-121.229725	.227	ML	2	E/O  Union Ave				
1002310	120	W	10	77		R4.777	4.284	37.783491	-121.225585	.256	ML	2	W/O Main St				
1002410	120	W	10	77		R4.323	3.83	37.783466	-121.233897	.36	ML	2	 Union Rd OC				
